indicator,label
PAK_CGO_NR_GR_NTR_MR_PF_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Miscellaneous receipts, Passport fee, National Currency"
PAK_CGO_NR_GR_NTR_MR_ROG_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Miscellaneous receipts, Royalty on oil/gas, National Currency"
PAK_CGO_NR_GR_NTR_MR_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Miscellaneous receipts, National Currency"
PAK_CGO_NR_GR_NTR_PE_D_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Property and enterprises, Dividends, National Currency"
PAK_CGO_NR_GR_NTR_PE_IFPS_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Property and enterprises, Interest from PSEs, National Currency"
PAK_CGO_NR_GR_NTR_PE_IFP_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Property and enterprises, Interest from provinces, National Currency"
PAK_CGO_NR_GR_NTR_PE_PFPO_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Property and enterprises, Profits from Post Office/PTA, National Currency"
PAK_CGO_NR_GR_NTR_PE_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, Property and enterprises, National Currency"
PAK_CGO_NR_GR_NTR_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Nontax Revenue, National Currency"
PAK_CGO_NR_GR_TR_CBRR_DT_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Tax Revenue, FBR revenue, Direct Taxes, National Currency"
PAK_CGO_NR_GR_TR_CBRR_IT_CD_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Tax Revenue, FBR revenue, Indirect Taxes, Customs duty, National Currency"
PAK_CGO_NR_GR_TR_CBRR_IT_FE_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Tax Revenue, FBR revenue, Indirect taxes, Customs duty, Federal excise, National Currency"
PAK_CGO_NR_GR_TR_CBRR_IT_ST_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Tax Revenue, FBR revenue, Indirect taxes, Customs duty, Sales tax, National Currency"
PAK_CGO_NR_GR_TR_CBRR_IT_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Tax Revenue, FBR revenue, Indirect Taxes, National Currency"
PAK_CGO_NR_GR_TR_CBRR_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Tax Revenue, FBR revenue, National Currency"
PAK_CGO_NR_GR_TR_S_NG_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Tax Revenue, Surcharges, Natural gas, National Currency"
PAK_CGO_NR_GR_TR_S_P_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross revenue , Tax Revenue, Surcharges, Petroleum, National Currency"
PAK_CGO_NR_GR_TR_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross Revenue, Tax revenue, National Currency"
PAK_CGO_NR_GR_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Gross Revenue, National Currency"
PAK_CGO_NR_PTS_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, Provincial tax share, National Currency"
PAK_CGO_NR_XDC,"Pakistan Definition,Central Government Operations, Net Revenue, National Currency"
PAK_CGO_OBEG_XDC,"Pakistan Definition,Central Government Operations, Expenditure, Net lending, Overall balance (excluding grants), National Currency"
PAK_GGO_BBEG_XDC,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency"
PAK_GGO_BBIG_XDC,"Pakistan Definition,General Government Operations, Budget balance (including grants), Accrual budget balance (incl. IDP grants) 4/, National Currency"
PAK_GGO_E_CE_F_CG_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, Federal, Civil government 1/Domestic Currency"
PAK_GGO_E_CE_F_D_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, Federal, Defense 1/Domestic Currency"
PAK_GGO_E_CE_F_G_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, Federal, Grants, National Currency"
PAK_GGO_E_CE_F_IP_D_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, Federal, Interest payments, Domestic, National Currency"
PAK_GGO_E_CE_F_IP_F_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, Federal, Interest payments, Foreign, National Currency"
PAK_GGO_E_CE_F_IP_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, Federal, Interest payments, National Currency"
PAK_GGO_E_CE_F_P_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, Federal, Pension (civil and military), National Currency"
PAK_GGO_E_CE_F_S_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, Federal, Subsidies, National Currency"
PAK_GGO_E_CE_F_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, Federal, National Currency"
PAK_GGO_E_CE_P_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, Provincial, National Currency"
PAK_GGO_E_CE_XDC,"Pakistan Definition,General Government Operations, Expenditure, Current expenditure, National Currency"
PAK_GGO_E_DENL_NL_XDC,"Pakistan Definition,General Government Operations, Expenditure, Development expenditure and net lending, Net lending, National Currency"
PAK_GGO_E_DENL_PDSP_XDC,"Pakistan Definition,General Government Operations, Expenditure, Development expenditure and net lending, Public Sector Development Program (PSDP) 2/ ,Domestic Currency"
PAK_GGO_E_DENL_PSDP_F_XDC,"Pakistan Definition,General Government Operations, Expenditure, Development expenditure and net lending, Public Sector Development Program (PSDP) 2/ ,Federal 2/ Domestic Currency"
PAK_GGO_E_DENL_PSDP_ODE_XDC,"Pakistan Definition,General Government Operations, Expenditure, Development expenditure and net lending, Public Sector Development Program (PSDP) 2/ ,Other development expenditure, National Currency"
PAK_GGO_E_DENL_PSDP_P_XDC,"Pakistan Definition,General Government Operations, Expenditure, Development expenditure and net lending, Public Sector Development Program (PSDP) 2/ ,Provincial, National Currency"
PAK_GGO_E_DENL_XDC,"Pakistan Definition,General Government Operations, Expenditure, Development expenditure and net lending, National Currency"
PAK_GGO_E_XDC,"Pakistan Definition,General Government Operations, Expenditure, National Currency"
PAK_GGO_F_B_XDC,"Pakistan Definition,General Government Operations, Financing, Bank, National Currency"
PAK_GGO_F_D_XDC,"Pakistan Definition,General Government Operations, Financing, Domestic, National Currency"
PAK_GGO_F_E_XDC,"Pakistan Definition,General Government Operations, Financing, External, National Currency"
PAK_GGO_F_NB_XDC,"Pakistan Definition,General Government Operations, Financing, Nonbank, National Currency"
PAK_GGO_F_PP_XDC,"Pakistan Definition,General Government Operations, Financing, Privatization proceeds, National Currency"
PAK_GGO_F_XDC,"Pakistan Definition,General Government Operations, Financing, National Currency"
PAK_GGO_MI_PBEG_XDC,"Pakistan Definition,General Government Operations, Memorandum items:, Primary balance (excluding grants), National Currency"
PAK_GGO_MI_PBIG_XDC,"Pakistan Definition,General Government Operations, Memorandum items:, Primary balance (including grants), National Currency"
PAK_GGO_RG_G_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, grants, National Currency"
PAK_GGO_RG_R_NTR_F_DR_O_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Federal, Defense receipts, Other, National Currency"
PAK_GGO_RG_R_NTR_F_DR_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Federal, Defense receipts, National Currency"
PAK_GGO_RG_R_NTR_F_OGR_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Federal, Oil and gas royalties, National Currency"
PAK_GGO_RG_R_NTR_F_O_CO_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Federal, Other, Crude and other, National Currency"
PAK_GGO_RG_R_NTR_F_O_MUEP_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Federal, Other, Mark-up  (interest revenue) excluding provinces, National Currency"
PAK_GGO_RG_R_NTR_F_O_PF_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Federal, Other, passport fees, National Currency"
PAK_GGO_RG_R_NTR_F_O_PTA_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Federal, Other, PTA, National Currency"
PAK_GGO_RG_R_NTR_F_SBPP_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Federal, SBP profits, National Currency"
PAK_GGO_RG_R_NTR_F_SOED_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Federal, SOE dividends, National Currency"
PAK_GGO_RG_R_NTR_F_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Federal, National Currency"
PAK_GGO_RG_R_NTR_P_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, Provincial, National Currency"
PAK_GGO_RG_R_NTR_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Nontax revenue, National Currency"
PAK_GGO_RG_R_TR_F_FBR_CD_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Federal, FBR revenue, Customs duties, National Currency"
PAK_GGO_RG_R_TR_F_FBR_D_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Federal, FBR revenue, Direct tax, National Currency"
PAK_GGO_RG_R_TR_F_FBR_ED_XDC,"Pakistan Definition,General Government Operations,Revenue and grants, Revenue, Tax Revenue, Federal, FBR revenue, Excise duty, National Currency"
